Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
3,50,3,71,3,75,0.078528645
3,46,3,80,3,80,0.076573185
1,37,1,73,1,76,0.328795115
1,17,1,87,1,71,0.321824432
3,43,3,83,3,74,0.078810324
3,25,3,81,3,68,0.079421655
3,14,1,87,3,80,0.075255445
1,33,3,85,1,79,0.330714866
3,9,3,87,3,80,0.076999021
1,65,1,81,1,80,0.326222614
3,39,1,88,3,73,0.079266961
2,48,2,79,2,82,0.503549929
3,76,3,86,3,73,0.076658058
3,49,3,86,3,82,0.079144591
3,27,3,80,3,77,0.079654242
1,79,1,86,1,86,0.33221543
3,74,3,76,3,78,0.079520965
2,35,2,85,2,90,0.506114191
3,3,3,84,3,69,0.079473281
3,41,3,83,3,70,0.078396819
2,38,2,80,2,85,0.505107637
3,58,3,74,3,74,0.077808585
2,69,2,82,2,79,0.5064409
2,70,2,95,2,78,0.503382653
3,6,3,69,3,83,0.076519998
1,20,1,86,1,86,0.325037806
2,80,2,79,2,87,0.508619644
2,38,2,94,2,93,0.503896805
1,9,1,86,1,82,0.326838565
2,16,2,85,2,75,0.505698506
2,75,2,80,2,95,0.508749832
3,72,3,79,3,67,0.076602016
2,42,2,80,2,78,0.503046369
2,46,2,75,2,85,0.504687096
3,56,3,75,3,75,0.07841226
3,76,3,75,3,67,0.079349623
1,55,1,68,1,85,0.331490542
2,68,2,76,2,93,0.505312577
1,41,1,75,1,80,0.324415135
2,76,2,86,2,87,0.502163889
3,28,3,86,3,75,0.075668946
2,62,1,76,2,94,0.5073128
2,28,2,95,2,78,0.501810822
2,71,2,80,2,88,0.503630184
1,46,1,73,1,76,0.32626795
1,27,1,74,1,83,0.328890724
3,58,3,71,3,87,0.075610197
3,18,3,74,3,78,0.07566294
2,44,2,79,2,80,0.508227748
2,16,2,88,2,92,0.508589937
2,44,2,94,2,84,0.500612249
2,69,2,90,2,76,0.507566807
2,74,2,88,2,87,0.502917993
3,41,3,75,3,86,0.079560313
2,58,2,84,2,87,0.505221924
2,31,2,75,2,94,0.506841513
3,52,3,78,3,69,0.07951158
3,46,3,69,3,74,0.07529906
3,21,3,70,3,69,0.075003938
1,8,1,87,1,82,0.32539901
2,36,2,88,2,84,0.503143664
3,31,3,68,3,71,0.078003994
3,46,3,79,2,90,0.077951907
1,57,1,86,1,74,0.33374864
3,14,3,84,3,69,0.076566293
1,10,1,84,1,86,0.32268008
2,58,2,81,2,78,0.506914278
2,2,2,95,3,81,0.50063638
3,67,3,86,3,74,0.078331093
1,56,1,82,1,75,0.329562245
3,54,3,68,3,87,0.077124219
2,20,2,93,2,84,0.501920318
2,57,3,84,2,86,0.500268561
2,76,2,87,2,88,0.507454668
3,76,3,84,3,75,0.079223916
1,1,1,88,1,79,0.322554306
3,80,3,78,3,67,0.076958341
2,58,2,77,2,83,0.501486606
3,80,3,86,3,69,0.078123364
3,18,3,77,3,87,0.079195366
2,41,2,77,2,93,0.501813778
1,3,1,77,1,82,0.320184834
1,33,1,85,1,85,0.330857013
3,56,3,70,3,84,0.076877021
1,35,1,78,1,78,0.325974571
2,2,2,94,2,92,0.500070232
2,39,2,79,2,80,0.507459921
2,69,2,86,2,90,0.505647453
1,78,1,79,1,73,0.331799611
2,43,2,93,2,76,0.506036045
1,28,1,68,1,86,0.324970659
2,16,2,79,2,76,0.50878236
2,7,2,95,2,91,0.500429073
2,37,2,88,2,83,0.504633179
1,63,1,82,1,77,0.327510563
3,19,3,86,3,72,0.079638678
3,31,3,83,3,83,0.07887364
1,58,1,70,1,78,0.3308782
1,1,1,77,3,84,0.329025215
2,4,2,89,2,90,0.506426607
2,43,2,88,2,81,0.501552887
2,9,2,79,2,90,0.507292783
3,63,3,78,3,75,0.078495098
3,44,3,82,3,70,0.076956409
3,11,3,69,3,75,0.0771216
2,6,2,80,2,83,0.506774348
2,58,2,94,2,85,0.508592134
3,36,3,77,3,79,0.077060443
1,30,1,80,1,82,0.332578258
2,11,2,94,2,78,0.507344137
3,36,3,83,3,76,0.079308753
3,0,3,75,3,78,0.079398378
3,18,3,70,3,87,0.075470474
1,40,1,81,1,85,0.325648614
1,37,1,81,1,71,0.320806502
3,64,3,67,3,79,0.078587368
1,58,1,70,1,73,0.330372421
1,37,1,74,1,80,0.329808282
2,4,2,81,2,86,0.508834964
3,45,3,73,3,68,0.079527386
3,75,3,74,3,67,0.075199198
2,11,2,82,2,85,0.500518746
2,0,2,78,2,77,0.501391929
1,51,1,84,1,68,0.324745107
3,73,3,67,3,76,0.075588423
1,22,1,79,1,79,0.321579882
1,4,1,77,1,79,0.327664548
3,55,3,67,3,84,0.076559307
2,59,2,79,2,88,0.506338998
3,23,1,82,1,83,0.076957624
1,76,1,71,1,78,0.334653718
1,11,1,74,2,92,0.327986948
2,55,2,79,2,78,0.501443768
2,64,2,80,2,85,0.502246114
3,4,3,86,3,74,0.079573566
2,54,2,94,2,78,0.506511331
3,30,3,70,3,70,0.076820301
2,18,2,83,2,79,0.500062164
1,25,1,71,1,71,0.321123393
2,42,2,77,2,76,0.506567622
2,51,2,85,2,95,0.501098227
2,70,2,76,2,91,0.501916124
2,34,2,93,2,85,0.501519141
1,75,1,84,3,83,0.325612043
2,74,2,80,2,91,0.508919393
3,48,3,70,3,76,0.078521611
1,66,1,80,1,73,0.328736716
3,33,1,73,3,81,0.07617505
2,28,2,90,2,89,0.50063828
1,1,1,68,1,70,0.326258933
