Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
1,39,1,83,1,83,0.507226264
3,64,3,69,3,78,0.078278824
3,34,3,78,3,74,0.079943026
3,18,3,84,3,69,0.078526967
1,35,1,83,1,77,0.503233658
3,24,3,84,2,77,0.07650439
3,22,3,71,3,80,0.07607069
2,39,2,84,2,76,0.333101456
1,31,1,80,1,80,0.504602557
1,78,1,85,1,95,0.50495691
1,63,1,93,1,85,0.502665778
3,47,3,87,3,80,0.079626783
3,39,3,68,3,70,0.076391207
2,10,2,81,2,68,0.323201792
2,60,2,75,2,88,0.325924317
2,25,2,83,2,84,0.331199902
3,20,3,76,3,75,0.076700246
2,35,1,87,2,71,0.326948285
3,73,3,70,3,72,0.077171642
1,33,1,90,1,78,0.502739658
3,45,3,69,3,86,0.07695998
1,5,1,92,1,95,0.501014321
3,64,3,81,3,87,0.07664269
3,19,3,67,3,68,0.07591825
1,12,2,80,1,83,0.502238794
1,75,1,95,1,87,0.504764502
1,71,1,77,1,80,0.501934037
3,28,1,93,3,75,0.079133574
3,13,3,68,3,86,0.077015711
2,42,3,67,2,77,0.330525225
3,27,3,68,3,67,0.077360829
1,38,1,86,1,79,0.502155782
3,43,3,86,3,86,0.077618527
3,73,3,86,3,87,0.077950572
3,64,2,71,3,86,0.078787986
3,75,3,74,3,87,0.077921734
2,64,2,84,2,71,0.327194041
2,17,2,81,2,75,0.328289877
3,41,3,76,3,82,0.076036372
1,75,1,90,1,92,0.500071926
2,23,2,76,2,85,0.333135308
1,26,1,79,1,81,0.503217722
3,4,1,93,3,84,0.079665366
1,60,1,80,1,81,0.50493791
2,70,2,85,2,71,0.326765373
2,1,2,73,2,69,0.33031054
1,20,1,77,1,92,0.505278102
2,23,2,75,2,81,0.333524115
3,30,3,79,3,83,0.078546768
3,21,3,84,3,73,0.077208219
3,50,3,87,3,77,0.078924854
3,4,3,72,3,83,0.078658493
2,42,1,85,2,81,0.334369013
3,79,3,71,3,86,0.076378054
1,21,1,90,1,82,0.507703706
3,37,3,70,3,85,0.079239044
2,79,2,71,2,80,0.323761505
1,15,1,91,1,79,0.501092738
2,73,2,81,2,72,0.323280801
3,4,1,78,3,85,0.075575369
1,57,1,85,1,90,0.505136022
1,6,1,80,1,93,0.505738947
2,14,2,87,2,79,0.321503404
1,50,2,73,1,77,0.502094898
1,18,2,86,1,88,0.506972605
3,68,3,72,3,83,0.07673691
1,11,1,79,1,90,0.505601362
1,52,2,82,1,86,0.507906701
1,50,1,91,1,93,0.501880671
1,15,3,81,1,77,0.504940113
1,57,2,87,1,75,0.507662791
3,39,3,70,3,86,0.077976858
2,28,3,80,2,73,0.325205858
1,44,2,78,1,95,0.508454655
3,8,3,73,3,81,0.079213989
3,73,2,69,3,71,0.075281323
2,54,2,72,2,82,0.326336737
3,31,3,76,3,73,0.077296179
1,8,1,87,1,81,0.503039111
1,20,1,92,1,75,0.507825048
3,64,3,86,3,73,0.075446486
2,10,3,67,2,70,0.320149338
3,22,3,72,3,79,0.07576088
1,62,1,85,1,85,0.505231547
2,30,2,82,2,77,0.322206296
3,77,3,86,3,78,0.076492648
3,53,1,85,3,78,0.075328633
1,73,1,87,1,77,0.505978462
2,77,2,73,2,71,0.323933459
2,0,2,68,2,78,0.327632252
2,50,2,83,2,69,0.328717961
3,24,3,73,3,84,0.077675027
1,71,1,82,1,87,0.503193007
1,21,1,89,1,94,0.504641598
1,48,1,94,1,82,0.503500013
2,76,1,76,2,69,0.321827221
1,33,2,71,1,90,0.507141934
3,22,3,83,3,73,0.07750949
1,33,1,81,1,77,0.508009556
3,48,3,78,3,79,0.079501721
2,13,2,78,2,79,0.332098982
2,60,2,87,2,73,0.333245531
2,12,2,84,2,77,0.325872504
3,35,3,84,3,85,0.077566085
1,11,1,95,1,81,0.505134323
1,16,1,86,1,75,0.507895783
2,21,2,78,1,91,0.322205894
1,22,1,93,1,89,0.500406889
1,49,1,93,1,85,0.503966776
2,17,2,73,2,74,0.331036829
3,47,3,80,3,81,0.076121826
1,54,1,84,1,85,0.508756834
1,32,3,77,1,84,0.506911611
3,10,3,73,3,70,0.076889393
1,48,1,84,1,93,0.505553936
1,16,1,83,1,92,0.501656967
3,32,2,77,3,82,0.079890004
1,5,2,69,1,85,0.503365013
2,0,3,68,2,68,0.321909421
3,55,3,70,3,78,0.078012395
3,73,3,86,3,86,0.076229773
2,26,2,78,2,77,0.322773424
2,71,2,68,2,86,0.329499233
3,77,1,86,3,67,0.079028621
1,9,1,89,1,91,0.503625948
1,60,1,76,1,85,0.500216351
1,55,1,94,1,77,0.508454922
2,72,3,67,2,87,0.328308729
2,16,2,72,2,68,0.325660399
3,1,3,80,3,79,0.079201443
3,52,3,83,3,80,0.079571306
1,60,3,83,1,80,0.500483477
2,55,3,73,2,77,0.331370165
2,38,2,78,2,68,0.330136033
2,57,2,85,2,82,0.327530615
1,59,2,81,1,81,0.506136922
1,17,1,76,1,83,0.50764708
1,39,1,87,2,85,0.506397756
1,12,1,92,1,83,0.506180157
2,50,2,76,2,82,0.331361096
1,71,1,81,1,88,0.505506075
1,20,3,76,1,94,0.503396248
1,10,1,90,1,95,0.508201675
3,80,3,79,3,81,0.075793929
1,36,1,77,1,82,0.505846149
3,59,3,76,3,85,0.075751421
3,66,1,91,3,72,0.077077171
3,54,3,69,3,68,0.079612321
3,53,3,69,3,84,0.078008076
3,14,3,69,3,83,0.078691298
